"table_name","variable_name","label","data_type","units","statistic","value","text_value"
"baseline","imd_quintile","Index of Multiple Deprivation quintile (1 least deprived, 5 most deprived)","ordered integer","quintile","Max",9,
"baseline","recruitment_year","Year of recruitment","integer","year","Rows",2400,
"baseline","recruitment_year","Year of recruitment","integer","year","Non-missing n",2400,
"baseline","recruitment_year","Year of recruitment","integer","year","Missing n",0,
"baseline","recruitment_year","Year of recruitment","integer","year","Missing %",0,
"baseline","recruitment_year","Year of recruitment","integer","year","Mean",2024.90291666667,
"baseline","recruitment_year","Year of recruitment","integer","year","SD",0.765660341113945,
"baseline","recruitment_year","Year of recruitment","integer","year","Median",2025,
"baseline","recruitment_year","Year of recruitment","integer","year","IQR",1,
"baseline","recruitment_year","Year of recruitment","integer","year","Min",2024,
"baseline","recruitment_year","Year of recruitment","integer","year","Q1",2024,
"baseline","recruitment_year","Year of recruitment","integer","year","Q3",2025,
"baseline","recruitment_year","Year of recruitment","integer","year","Max",2026,
"baseline","age_years","Age at recruitment","continuous","years","Rows",2400,
"baseline","age_years","Age at recruitment","continuous","years","Non-missing n",2400,
"baseline","age_years","Age at recruitment","continuous","years","Missing n",0,
"baseline","age_years","Age at recruitment","continuous","years","Missing %",0,
"baseline","age_years","Age at recruitment","continuous","years","Mean",70.64125,
"baseline","age_years","Age at recruitment","continuous","years","SD",8.44638625119999,
"baseline","age_years","Age at recruitment","continuous","years","Median",71,
"baseline","age_years","Age at recruitment","continuous","years","IQR",13,
"baseline","age_years","Age at recruitment","continuous","years","Min",51,
"baseline","age_years","Age at recruitment","continuous","years","Q1",64,
"baseline","age_years","Age at recruitment","continuous","years","Q3",77,
"baseline","age_years","Age at recruitment","continuous","years","Max",89,
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Rows",2400,
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Non-missing n",2400,
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Missing n",0,
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Missing %",0,
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Levels observed",3,
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Mode count",1203,
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Mode percent",50.125,
"baseline","sex_at_birth","Recorded sex at birth","binary categorical","none","Mode level",,"Male"
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","Rows",2400,
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","Non-missing n",2400,
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","Missing n",0,
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","Missing %",0,
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","Levels observed",6,
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","Mode count",1909,
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","Mode percent",79.5416666666667,
"baseline","ethnicity_group","Broad ethnicity group","categorical","none","Mode level",,"White"
"baseline","blood_group","ABO blood group","categorical","none","Rows",2400,
"baseline","blood_group","ABO blood group","categorical","none","Non-missing n",2400,
"baseline","blood_group","ABO blood group","categorical","none","Missing n",0,
"baseline","blood_group","ABO blood group","categorical","none","Missing %",0,
"baseline","blood_group","ABO blood group","categorical","none","Levels observed",4,
"baseline","blood_group","ABO blood group","categorical","none","Mode count",1196,
"baseline","blood_group","ABO blood group","categorical","none","Mode percent",49.8333333333333,
"baseline","blood_group","ABO blood group","categorical","none","Mode level",,"O"
"baseline","smoking_status","Current smoking history category","categorical","none","Rows",2400,
"baseline","smoking_status","Current smoking history category","categorical","none","Non-missing n",2400,
"baseline","smoking_status","Current smoking history category","categorical","none","Missing n",0,
"baseline","smoking_status","Current smoking history category","categorical","none","Missing %",0,
"baseline","smoking_status","Current smoking history category","categorical","none","Levels observed",4,
"baseline","smoking_status","Current smoking history category","categorical","none","Mode count",1268,
"baseline","smoking_status","Current smoking history category","categorical","none","Mode percent",52.8333333333333,
"baseline","smoking_status","Current smoking history category","categorical","none","Mode level",,"Never"
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Rows",2400,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Non-missing n",2400,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Missing n",0,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Missing %",0,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Mean",8.86041666666667,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","SD",5.39186547018523,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Median",8,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","IQR",7,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Min",0,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Q1",5,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Q3",12,
"baseline","alcohol_units_per_week","Self-reported alcohol intake","continuous","units/week","Max",40,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Rows",2400,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Non-missing n",2400,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Missing n",0,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Missing %",0,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Mean",85.1204166666667,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","SD",62.2961174747797,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Median",81,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","IQR",92.25,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Min",0,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Q1",34,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Q3",126.25,
"baseline","weekly_exercise_min","Weekly moderate exercise time","continuous","minutes/week","Max",289,
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Rows",2400,
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Non-missing n",2400,
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Missing n",0,
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Missing %",0,
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Levels observed",2,
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Mode count",1851,
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Mode percent",77.125,
"baseline","inactive_under_30min","Less than 30 minutes of moderate or vigorous activity per week","binary categorical","none","Mode level",,"No"
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Rows",2400,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Non-missing n",2367,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Missing n",33,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Missing %",1.375,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Mean",6.70401351922265,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","SD",0.780530161950217,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Median",6.7,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","IQR",1,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Min",4.5,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Q1",6.2,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Q3",7.2,
"baseline","sleep_hours_per_night","Average sleep per night","continuous","hours","Max",9.5,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Rows",2400,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Non-missing n",2358,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Missing n",42,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Missing %",1.75,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Mean",3.95479219677693,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","SD",1.08117318077596,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Median",3.9,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","IQR",1.5,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Min",0.5,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Q1",3.2,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Q3",4.7,
"baseline","fruit_veg_portions_per_day","Daily fruit and vegetable intake","continuous","portions/day","Max",7.6,
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Rows",2400,
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Non-missing n",2400,
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Missing n",0,
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Missing %",0,
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Levels observed",2,
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Mode count",1698,
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Mode percent",70.75,
"baseline","family_history_cvd","Family history of cardiovascular disease","binary categorical","none","Mode level",,"No"
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Rows",2400,
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Non-missing n",2400,
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Missing n",0,
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Missing %",0,
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Levels observed",2,
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Mode count",1585,
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Mode percent",66.0416666666667,
"baseline","family_history_diabetes","Family history of diabetes","binary categorical","none","Mode level",,"No"
"baseline","height_cm","Standing height","continuous","cm","Rows",2400,
"baseline","height_cm","Standing height","continuous","cm","Non-missing n",2400,
"baseline","height_cm","Standing height","continuous","cm","Missing n",0,
"baseline","height_cm","Standing height","continuous","cm","Missing %",0,
"baseline","height_cm","Standing height","continuous","cm","Mean",168.725458333333,
"baseline","height_cm","Standing height","continuous","cm","SD",9.47134231997538,
"baseline","height_cm","Standing height","continuous","cm","Median",168.3,
"baseline","height_cm","Standing height","continuous","cm","IQR",14.1,
"baseline","height_cm","Standing height","continuous","cm","Min",145,
"baseline","height_cm","Standing height","continuous","cm","Q1",161.6,
"baseline","height_cm","Standing height","continuous","cm","Q3",175.7,
"baseline","height_cm","Standing height","continuous","cm","Max",199.7,
"baseline","weight_kg","Body weight","continuous","kg","Rows",2400,
"baseline","weight_kg","Body weight","continuous","kg","Non-missing n",2400,
"baseline","weight_kg","Body weight","continuous","kg","Missing n",0,
"baseline","weight_kg","Body weight","continuous","kg","Missing %",0,
"baseline","weight_kg","Body weight","continuous","kg","Mean",80.81475,
"baseline","weight_kg","Body weight","continuous","kg","SD",15.0569420500132,
"baseline","weight_kg","Body weight","continuous","kg","Median",80.05,
"baseline","weight_kg","Body weight","continuous","kg","IQR",20.5,
"baseline","weight_kg","Body weight","continuous","kg","Min",45.2,
"baseline","weight_kg","Body weight","continuous","kg","Q1",70.3,
"baseline","weight_kg","Body weight","continuous","kg","Q3",90.8,
"baseline","weight_kg","Body weight","continuous","kg","Max",132.6,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Rows",2400,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Non-missing n",2400,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Missing n",0,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Missing %",0,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Mean",28.2765416666667,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","SD",4.05282178756743,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Median",28.1,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","IQR",5.625,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Min",19,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Q1",25.5,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Q3",31.125,
"baseline","bmi_kg_m2","Body mass index derived from height and weight","continuous","kg/m^2","Max",41.2,
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Rows",2400,
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Non-missing n",2400,
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Missing n",0,
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Missing %",0,
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Levels observed",4,
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Mode count",1590,
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Mode percent",66.25,
"baseline","obesity","BMI at least 30 kg/m^2","binary categorical","none","Mode level",,"No"
"baseline","waist_cm","Waist circumference","continuous","cm","Rows",2400,
"baseline","waist_cm","Waist circumference","continuous","cm","Non-missing n",2400,
"baseline","waist_cm","Waist circumference","continuous","cm","Missing n",0,
"baseline","waist_cm","Waist circumference","continuous","cm","Missing %",0,
"baseline","waist_cm","Waist circumference","continuous","cm","Mean",93.321125,
"baseline","waist_cm","Waist circumference","continuous","cm","SD",9.7594827062622,
"baseline","waist_cm","Waist circumference","continuous","cm","Median",93.1,
"baseline","waist_cm","Waist circumference","continuous","cm","IQR",13.5,
"baseline","waist_cm","Waist circumference","continuous","cm","Min",62,
"baseline","waist_cm","Waist circumference","continuous","cm","Q1",86.4,
"baseline","waist_cm","Waist circumference","continuous","cm","Q3",99.9,
"baseline","waist_cm","Waist circumference","continuous","cm","Max",122.7,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Rows",2400,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Non-missing n",2400,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Missing n",0,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Missing %",0,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Mean",0.5541875,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","SD",0.0602683163547129,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Median",0.55,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","IQR",0.08,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Min",0.36,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Q1",0.51,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Q3",0.59,
"baseline","waist_to_height_ratio","Waist-to-height ratio","continuous","ratio","Max",0.79,
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Rows",2400,
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Non-missing n",2400,
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Missing n",0,
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Missing %",0,
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Levels observed",2,
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Mode count",1810,
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Mode percent",75.4166666666667,
"baseline","high_central_adiposity","Waist-to-height ratio at least 0.6","binary categorical","none","Mode level",,"No"
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Rows",2400,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Non-missing n",2400,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Missing n",0,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Missing %",0,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Mean",140.04,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","SD",40.7902766532124,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Median",139,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","IQR",17,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Min",91,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Q1",131,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Q3",148,
"baseline","systolic_bp_mmHg","Systolic blood pressure","continuous","mmHg","Max",1620,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Rows",2400,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Non-missing n",2400,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Missing n",0,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Missing %",0,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Mean",80.7433333333333,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","SD",8.43373734026168,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Median",81,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","IQR",11,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Min",52,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Q1",75,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Q3",86,
"baseline","diastolic_bp_mmHg","Diastolic blood pressure","continuous","mmHg","Max",109,
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Rows",2400,
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Non-missing n",2400,
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Missing n",0,
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Missing %",0,
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Levels observed",2,
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Mode count",1401,
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Mode percent",58.375,
"baseline","measured_hypertension","Measured hypertension or antihypertensive treatment","binary categorical","none","Mode level",,"Yes"
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Rows",2400,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Non-missing n",2400,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Missing n",0,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Missing %",0,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Mean",71.5675,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","SD",6.13306202241082,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Median",72,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","IQR",9,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Min",48,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Q1",67,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Q3",76,
"baseline","resting_heart_rate_bpm","Resting heart rate","continuous","beats/min","Max",96,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Rows",2400,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Non-missing n",2400,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Missing n",0,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Missing %",0,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Mean",5.334425,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","SD",0.729560159881419,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Median",5.25,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","IQR",0.9825,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Min",3.6,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Q1",4.8075,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Q3",5.79,
"baseline","fasting_glucose_mmol_L","Fasting glucose","continuous","mmol/L","Max",7.63,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Rows",2400,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Non-missing n",2300,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Missing n",100,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Missing %",4.16666666666667,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Mean",36.1507391304348,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","SD",6.97123302777692,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Median",35.1,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","IQR",9,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Min",25,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Q1",31.1,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Q3",40.1,
"baseline","hba1c_mmol_mol","HbA1c glycaemic marker","continuous","mmol/mol","Max",58,
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Rows",2400,
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Non-missing n",2400,
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Missing n",0,
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Missing %",0,
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Levels observed",2,
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Mode count",2204,
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Mode percent",91.8333333333333,
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Mode level",,"No"
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Rows",2400,
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Non-missing n",2400,
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Missing n",0,
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Missing %",0,
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Levels observed",2,
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Mode count",1665,
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Mode percent",69.375,
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Mode level",,"No"
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","Rows",2400,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","Non-missing n",2400,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","Missing n",0,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","Missing %",0,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","Mean",5.118625,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","SD",0.615681778786982,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","Median",5.13,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","IQR",0.85,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","Min",2.93,
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","Q1",4.7,
