"table_name","variable_name","label","data_type","units","example_values","suggested_teaching_use"
"baseline","type2_diabetes","Simulated type 2 diabetes status based on glycaemic profile","binary categorical","none","Yes, No","Probability, logistic regression"
"baseline","prediabetes","Prediabetes or non-diabetic hyperglycaemia","binary categorical","none","Yes, No","Probability, logistic regression"
"baseline","total_cholesterol_mmol_L","Total cholesterol","continuous","mmol/L","2.8 to 8.5","Descriptives, regression"
"baseline","raised_total_cholesterol","Total cholesterol at least 5 mmol/L","binary categorical","none","Yes, No","Prevalence, chi-square, logistic regression"
"baseline","hdl_cholesterol_mmol_L","HDL cholesterol","continuous","mmol/L","0.7 to 2.5","Correlations, lipid profiles"
"baseline","ldl_cholesterol_mmol_L","Estimated LDL cholesterol","continuous","mmol/L","1.2 to 6.3","Regression, derived variables"
"baseline","triglycerides_mmol_L","Triglycerides","continuous","mmol/L","0.45 to 5.5","Skewed distribution, log transform"
"baseline","total_hdl_ratio","Total cholesterol divided by HDL cholesterol","continuous","ratio","1.5 to 10","Derived cardiovascular risk marker"
"baseline","high_total_hdl_ratio","Total-to-HDL cholesterol ratio at least 6","binary categorical","none","Yes, No","Derived binary risk marker"
"baseline","crp_mg_L","C-reactive protein","continuous","mg/L","0.1 to 20","Skewed distribution, non-parametric tests"
"baseline","creatinine_umol_L","Serum creatinine","continuous","umol/L","45 to 150","Regression, renal markers"
"baseline","egfr_ml_min_1_73m2","Estimated glomerular filtration rate","continuous","mL/min/1.73m^2","35 to 125","Inverse association examples"
"baseline","self_rated_health","Self-rated overall health using UK survey wording","ordered categorical","none","Very bad to Very good","Ordinal data, non-parametric tests"
"baseline","longstanding_condition","Longstanding health condition","binary categorical","none","Yes, No","Probability, odds, regression"
"baseline","chronic_kidney_disease","Simulated chronic kidney disease status","binary categorical","none","Yes, No","Comorbidity, mortality prediction"
"baseline","atrial_fibrillation","Simulated atrial fibrillation history","binary categorical","none","Yes, No","Comorbidity, stroke risk, mortality prediction"
"baseline","previous_mi","Previous myocardial infarction history","binary categorical","none","Yes, No","Comorbidity, cardiovascular risk"
"baseline","previous_stroke_tia","Previous stroke or transient ischaemic attack history","binary categorical","none","Yes, No","Comorbidity, mortality prediction"
"baseline","copd","Simulated chronic obstructive pulmonary disease status","binary categorical","none","Yes, No","Smoking-related comorbidity"
"baseline","cancer_history","Previous cancer diagnosis history","binary categorical","none","Yes, No","Comorbidity, mortality prediction"
"baseline","osteoarthritis","Simulated osteoarthritis status","binary categorical","none","Yes, No","Older-age comorbidity, function"
"baseline","depression_anxiety","Depression or anxiety history","binary categorical","none","Yes, No","Comorbidity, self-rated health"
"baseline","dementia_cognitive_impairment","Dementia or cognitive impairment history","binary categorical","none","Yes, No","Frailty, mortality prediction"
"baseline","multimorbidity_count","Count of selected long-term conditions","count","conditions","0 to 11","Count data, risk modelling"
"baseline","falls_last_12m","Falls reported in the last year","count","falls","0 to 6","Count data, frailty"
"baseline","polypharmacy_5plus","Taking five or more regular medicines","binary categorical","none","Yes, No","Comorbidity burden"
"baseline","frailty_index","Simplified frailty index derived from age, conditions, falls, and polypharmacy","continuous","index","0.02 to 0.58","Risk score, distributions"
"baseline","frailty_category","Frailty category derived from frailty index","ordered categorical","none","Fit, Mild frailty, Moderate frailty, Severe frailty","Ordinal data, mortality prediction"
"baseline","care_home_resident","Simulated care-home residence at baseline","binary categorical","none","Yes, No","Older-age risk stratification"
"baseline","gp_visits_last_12m","General practice visits in the last year","count","visits","0 to 18","Count data, Poisson discussion"
"baseline","sick_days_last_12m","Days off work or study due to illness","count","days","0 to 40","Count data, skewed outcomes"
"baseline","on_antihypertensive","Currently taking blood pressure medication","binary categorical","none","Yes, No","Odds, confounding"
"baseline","on_statin","Currently taking statin medication","binary categorical","none","Yes, No","Odds, confounding"
"baseline","diagnosed_hypertension","Clinical hypertension diagnosis","binary categorical","none","Yes, No","Probability, odds, logistic regression"
"baseline","high_cardiovascular_risk","Elevated cardiovascular risk category","binary categorical","none","Yes, No","Logistic regression"
"baseline","hospital_admission_24m","Any hospital admission during the first 24 months","binary categorical","none","Yes, No","Probability, risk prediction"
"baseline","hospital_admission_5y","Any hospital admission during five-year follow-up","binary categorical","none","Yes, No","Probability, risk prediction"
"baseline","metabolic_risk_group","Overall metabolic risk group","ordered categorical","none","Low, Intermediate, High","Ordinal comparisons"
"baseline","lifestyle_program_enrolled","Joined the lifestyle support programme","binary categorical","none","Yes, No","Observational group comparisons"
"baseline","mortality_risk_5y_pct","Predicted five-year mortality risk from the simulated risk model","continuous","percent","0 to 60","Risk prediction, calibration, logistic regression"
"baseline","died_during_followup","Died during five-year follow-up","binary categorical","none","Yes, No","Survival and mortality teaching"
"baseline","death_month","Month of death after baseline for participants who died","continuous","months","1 to 60","Time-to-event teaching"
"baseline","age_at_death","Age at death for participants who died","continuous","years","50 to 95","Mortality summaries"
"baseline","primary_cause_of_death","Broad simulated primary cause of death","categorical","none","Cancer, stroke, dementia, respiratory, heart disease, other","Cause-specific mortality examples"
"mortality_comorbidity","participant_id","Unique participant identifier","identifier","none","BIO00001","Merge with baseline and visits"
"mortality_comorbidity","age_years","Age at recruitment copied from baseline","continuous","years","50 to 90","Risk modelling"
"mortality_comorbidity","sex_at_birth","Recorded sex at birth copied from baseline","binary categorical","none","Female, Male","Risk modelling"
"mortality_comorbidity","imd_quintile","Index of Multiple Deprivation quintile copied from baseline","ordered integer","quintile","1 to 5","Deprivation gradient"
"mortality_comorbidity","multimorbidity_count","Count of selected long-term conditions","count","conditions","0 to 11","Risk modelling"
"mortality_comorbidity","frailty_index","Simplified frailty index","continuous","index","0.02 to 0.58","Risk score"
"mortality_comorbidity","frailty_category","Frailty category","ordered categorical","none","Fit, Mild frailty, Moderate frailty, Severe frailty","Ordinal risk groups"
"mortality_comorbidity","chronic_kidney_disease","Simulated chronic kidney disease status","binary categorical","none","Yes, No","Comorbidity"
"mortality_comorbidity","atrial_fibrillation","Simulated atrial fibrillation history","binary categorical","none","Yes, No","Comorbidity"
"mortality_comorbidity","previous_mi","Previous myocardial infarction history","binary categorical","none","Yes, No","Comorbidity"
"mortality_comorbidity","previous_stroke_tia","Previous stroke or TIA history","binary categorical","none","Yes, No","Comorbidity"
"mortality_comorbidity","copd","Simulated COPD status","binary categorical","none","Yes, No","Comorbidity"
"mortality_comorbidity","cancer_history","Previous cancer diagnosis history","binary categorical","none","Yes, No","Comorbidity"
"mortality_comorbidity","dementia_cognitive_impairment","Dementia or cognitive impairment history","binary categorical","none","Yes, No","Comorbidity"
"mortality_comorbidity","polypharmacy_5plus","Taking five or more regular medicines","binary categorical","none","Yes, No","Medication burden"
"mortality_comorbidity","care_home_resident","Simulated care-home residence","binary categorical","none","Yes, No","Older-age risk stratification"
"mortality_comorbidity","mortality_risk_5y_pct","Predicted five-year mortality risk","continuous","percent","0 to 60","Risk prediction"
"mortality_comorbidity","died_during_followup","Died during five-year follow-up","binary categorical","none","Yes, No","Mortality outcome"
"mortality_comorbidity","death_month","Month of death after baseline","continuous","months","1 to 60","Time-to-event outcome"
"mortality_comorbidity","death_calendar_year","Approximate calendar year of death","integer","year","2024 to 2031","Event timing"
"mortality_comorbidity","age_at_death","Age at death","continuous","years","50 to 95","Mortality summaries"
"mortality_comorbidity","primary_cause_of_death","Broad simulated primary cause of death","categorical","none","Cancer, stroke, dementia, respiratory, heart disease, other","Cause-specific mortality"
"visits","participant_id","Unique participant identifier","identifier","none","BIO00001","Merge with baseline table"
"visits","visit_number","Visit order","integer","visit index","0 to 5","Repeated-measures filtering"
"visits","visit_label","Human-readable visit label","categorical","none","baseline, 12_month, 24_month, 36_month, 48_month, 60_month","Repeated-measures filtering"
"visits","months_since_baseline","Approximate months since baseline","integer","months","0 to 63","Time trends"
"visits","age_at_visit_years","Age at visit","continuous","years","50 to 95","Longitudinal age effects"
"visits","site_code","Recruiting clinic site","categorical","none","Bristol, Birmingham, Leeds, Manchester","Stratified repeated measures"
"visits","imd_quintile","Index of Multiple Deprivation quintile carried forward","ordered integer","quintile","1 to 5","Stratified repeated measures"
"visits","smoking_status","Baseline smoking category carried forward","categorical","none","Never, Former, Current","Grouped longitudinal summaries"
"visits","lifestyle_program_enrolled","Programme enrolment carried forward","binary categorical","none","Yes, No","Change-score comparisons"
"visits","multimorbidity_count","Baseline multimorbidity count carried forward","count","conditions","0 to 11","Stratified longitudinal summaries"
"visits","frailty_category","Baseline frailty category carried forward","ordered categorical","none","Fit, Mild frailty, Moderate frailty, Severe frailty","Stratified longitudinal summaries"
"visits","mortality_risk_5y_pct","Baseline predicted five-year mortality risk carried forward","continuous","percent","0 to 60","Attrition and risk stratification"
"visits","weekly_exercise_min","Exercise reported at visit","continuous","minutes/week","0 to 480","Paired tests, trajectories"
"visits","weight_kg","Body weight at visit","continuous","kg","43 to 160","Paired tests, repeated measures"
"visits","bmi_kg_m2","BMI at visit","continuous","kg/m^2","17 to 45","Trajectories, change scores"
"visits","systolic_bp_mmHg","Systolic blood pressure at visit","continuous","mmHg","85 to 195","Paired t-tests, mixed-model examples"
"visits","diastolic_bp_mmHg","Diastolic blood pressure at visit","continuous","mmHg","50 to 118","Paired t-tests, mixed-model examples"
"visits","resting_heart_rate_bpm","Resting heart rate at visit","continuous","beats/min","45 to 110","Time trends"
"visits","fasting_glucose_mmol_L","Fasting glucose at visit","continuous","mmol/L","3.5 to 10.5","Paired tests, regression on change"
"visits","hba1c_mmol_mol","HbA1c at visit","continuous","mmol/mol","22 to 75","Missing data, longitudinal summaries"
"visits","total_cholesterol_mmol_L","Total cholesterol at visit","continuous","mmol/L","2.7 to 8.5","Trajectories"
"visits","hdl_cholesterol_mmol_L","HDL cholesterol at visit","continuous","mmol/L","0.6 to 2.6","Trajectories"
"visits","triglycerides_mmol_L","Triglycerides at visit","continuous","mmol/L","0.4 to 5.5","Log-transform examples"
"visits","crp_mg_L","C-reactive protein at visit","continuous","mg/L","0.1 to 20","Non-parametric repeated measures"
"visits","medication_adherence_pct","Medication adherence for treated participants","continuous","percent","35 to 100","Missing data, bounded variables"
"visits","self_rated_health","Self-rated health at visit","ordered categorical","none","Very bad to Very good","Ordinal longitudinal analysis"
"visits","living_status_at_visit","Living status at each observed visit","binary categorical","none","Alive","Death-censored follow-up discussion"
